Name,Type,Slot,Stats,Classes,Races,Effect,WT,Size,Magic Item,Lore Item,No Drop,30d Avg,90d Avg,All Time Avg
Animated Bait,,,,ALL,ALL,,,,False,False,False,,,,,
Antonian Javelin,,,,WAR RNG MNK BRD ROG SHM,ALL,,,,False,False,False,,,,8,30
Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,1,
Arrow of Acknowledgment,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,True,,,,1,
Arrow of Bravery,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,True,,,,1,
Arrow of Contagion,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,4,
Arrow of Defiance,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,True,,,,1,
Arrow of Fire,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,4,
Arrow of Fortitude,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,True,,,,1,
Arrow of Frost,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,4,
Arrow of Gallantry,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,True,,,,1,
Arrow of Lightning,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,4,
Arrow of Poison,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,4,
Arrow of Recognition,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,True,,,,1,
Arrow of Stunning,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,4,
Brokenskull Club,,,DMG: 33  AC: -15 DEX: -10  INT: -10  AGI: -15 SV DISEASE: -15  SV POISON: -15,WAR SHD,BAR TRL OGR,,,,True,True,False,,,,33  AC: -15,41
CLASS 1 Bone Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,3,
CLASS 1 Bone Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 1 Ceramic Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,4,
CLASS 1 Wood Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 1 Wood Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,1,
CLASS 1 Wood Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,3,
CLASS 2 Bone Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,3,
CLASS 2 Bone Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 2 Ceramic Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,4,
CLASS 2 Ceramic Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,5,
CLASS 2 Steel Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,6,0
CLASS 2 Wood Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 2 Wood Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,1,
CLASS 3 Bone Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,4,
CLASS 3 Bone Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,3,
CLASS 3 Ceramic Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,5,
CLASS 3 Ceramic Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,6,
CLASS 3 Steel Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,7,0
CLASS 3 Wood Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 4 Bone Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,4,
CLASS 4 Ceramic Hooked Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,5,
CLASS 4 Ceramic Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,6,
CLASS 4 Steel Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,7,0
CLASS 4 Wood Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 5 Ceramic Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,6,
CLASS 5 Steel Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,7,0
CLASS 5 Wood Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,2,
CLASS 6 Ceramic Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,7,0
CLASS 6 Steel Silver Tip Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,8,0
CLASS 6 Wood Point Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,3,
Courier`s Potion,,,,ALL,ALL,Overthere (Spell),,,True,True,True,,,,,
Da Oogly Stick,,,,ALL,ALL,,,,True,True,True,,,,,
Dragon Claw Sliver,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,5,36
Flight Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,1,
Forged Javelin,,,,WAR RNG MNK BRD ROG,ALL,,,,False,False,False,,,,7,33
Forged Shuriken,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,4,25
Forged Throwing Axe,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,6,29
Forged Throwing Knife,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,5,35
Forged Velium Shuriken,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,5,24
Forged Velium Throwing Axe,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,7,28
Forged Velium Throwing Knife,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,6,34
Forged Velium Throwing Spear,,,,WAR RNG MNK BRD ROG,ALL,,,,True,False,False,,,,8,32
Forlorn Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,4,
Gloomwater Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,10,
Guide Scope,,,,ALL,ALL,Telescope,,,True,True,True,,,,,
Halfling Knife,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,12,42
Larktwitter Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,6,
Shardwing Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,12,
Shattering Hammer,,,,ALL except ROG NEC WIZ MAG ENC,ALL,,,,False,False,False,,,,9,30
Sheaf Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,3,
Shuriken,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,4,26
Shuriken of the Tranquil,,,,MNK,HUM IKS,,,,True,False,False,,,,100,20
Sifaye Dart,,,,WAR RNG SHD MNK BRD ROG NEC WIZ MAG ENC,ALL,,,,True,False,False,,,,3,10
Silvered Shuriken,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,5,23
Silvered Throwing Knife,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,6,33
Skipping Stone,,,,ALL,ALL,,,,False,False,False,,,,1,35
Summoned: Arrow,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,3,
Summoned: Arrow of Marr,,,,WAR PAL RNG SHD ROG,ALL,,,,True,False,False,,,,3,
Summoned: Coldstone,,,,ALL,ALL,Ultravision,,,True,False,False,,,,,
Summoned: Heatstone,,,,ALL,ALL,Serpent Sight,,,True,False,False,,,,,
Summoned: Knife of Luclin,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,10,33
Summoned: Shuriken of Quellious,,,DEX: +4  AGI: +4,MNK ROG,ALL,,,,True,False,False,,,,7,23
Summoned: Throwing Dagger,,,,ALL except CLR PAL DRU,ALL,,,,True,False,False,,,,6,36
Super Sweet Fishing Grubs,,,,ALL,ALL,,,,False,True,False,,,,,
Throwing Axe,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,6,30
Throwing Boulder,,,,WAR SHD ROG,BAR TRL OGR IKS,,,,False,False,False,,,,36,35
Throwing Knife,,,,ALL except CLR PAL DRU SHM,ALL,,,,False,False,False,,,,5,36
Turmoil Warts,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,9,24
Velium Bolt,,,,WAR PAL RNG SHD ROG,ALL,,,,False,False,False,,,,5,
Velium Shuriken,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,5,26
Velium Spear of Impaling,,,,WAR SHD ROG,BAR ELF TRL OGR IKS,,,,False,False,False,,,,36,35
Velium Throwing Knife,,,,ALL except CLR PAL DRU SHM,ALL,,,,True,False,False,,,,6,36
Adamantite Armband,,,STR: +3  WIS: +3,ALL,ALL,,,,True,True,False,,,,,
Akkirus' Vambraces of the Risen,,,STA: +3  WIS: +5  HP: +35  MANA: +20 SV FIRE: +1  SV DISEASE: +1  SV COLD: +1  SV MAGIC: +1  SV POISON: +1,CLR,ALL except BAR HEF TRL OGR IKS,,,,True,False,True,,,,,
Ancient Leather Sleeves,,,,DRU MNK,ALL,,,,False,True,True,,,,,
Ancient Silk Sleeves,,,,NEC WIZ MAG ENC,ALL,,,,True,True,True,,,,,
Ancient Tarnished Chain Sleeves,,,,RNG ROG SHM,ALL,,,,True,True,True,,,,,
Ancient Tarnished Vambraces,,,,WAR CLR PAL SHD BRD,ALL,,,,True,True,True,,,,,
Ancient Wyvern Hide Sleeves,,,STA: +15 SV DISEASE: +8  SV POISON: +8,ALL,ALL,,,,True,True,True,,,,,
Apothic Sleeves,,,INT: +7  HP: +18 SV FIRE: +10,MAG,HUM ERU HIE DEF GNM,,,,True,False,True,,,,,
Arch Mage's Sleeves,,,STA: +4  INT: +5  HP: +15  MANA: +15 SV POISON: +2,MAG,HUM ERU HIE DEF GNM,,,,True,False,True,,,,,
Arctic Wyvern Sleeves,,,STR: +8  STA: +6 SV COLD: +6  SV MAGIC: +3,SHM,ALL,,,,True,False,False,,,,,
Assassin's Chain Sleeves,,,DEX: +7  HP: +25 SV DISEASE: +2  SV MAGIC: +3,ROG,ALL except ERU HIE TRL OGR IKS,,,,True,False,True,,,,,
Azure Sleeves,,,,ALL,ALL,,,,True,False,False,,,,,
